Time:512Hz,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Classification
0.150390625,1162208384.0,1145630208.0,1145657472.0,1162520320.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165570304.0,1145657472.0,1165919488.0,1145632256.0,right
0.15234375,1145628032.0,1145628032.0,1145657472.0,1165562880.0,1145657472.0,1165918976.0,1145630208.0,1162141184.0,1145632256.0,1145657472.0,1162504064.0,1145628032.0,1145628032.0,1145630208.0,right
0.154296875,1162094976.0,1145630208.0,1145657472.0,1162496128.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165544064.0,1145657472.0,1165904768.0,1145630208.0,right
0.15625,1145628032.0,1145628032.0,1145657472.0,1165529856.0,1145657472.0,1165893760.0,1145632256.0,1161952640.0,1145630208.0,1145657472.0,1162476160.0,1145628032.0,1145628032.0,1145630208.0,right
0.158203125,1161899136.0,1145630208.0,1145657472.0,1162464640.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165519872.0,1145657472.0,1165895808.0,1145630208.0,right
0.16015625,1145628032.0,1145628032.0,1145657472.0,1165524608.0,1145657472.0,1165900032.0,1145632256.0,1161889152.0,1145630208.0,1145657472.0,1162432128.0,1145628032.0,1145628032.0,1145630208.0,right
0.162109375,1161862272.0,1145632256.0,1145657472.0,1162394240.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165530880.0,1145657472.0,1165891584.0,1145632256.0,right
0.1640625,1145628032.0,1145628032.0,1145657472.0,1165527168.0,1145657472.0,1165890048.0,1145632256.0,1161808768.0,1145630208.0,1145657472.0,1162328704.0,1145628032.0,1145628032.0,1145630208.0,right
0.166015625,1161848704.0,1145632256.0,1145657472.0,1162353792.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165499904.0,1145657472.0,1165887488.0,1145632256.0,right
0.16796875,1145628032.0,1145628032.0,1145657472.0,1165484672.0,1145657472.0,1165883264.0,1145630208.0,1161882752.0,1145632256.0,1145657472.0,1162429952.0,1145628032.0,1145628032.0,1145630208.0,right
0.169921875,1161867520.0,1145630208.0,1145657472.0,1162437888.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165476736.0,1145657472.0,1165878528.0,1145632256.0,right
0.171875,1145628032.0,1145628032.0,1145657472.0,1165476736.0,1145657472.0,1165871744.0,1145630208.0,1161993088.0,1145632256.0,1145657472.0,1162474112.0,1145628032.0,1145628032.0,1145630208.0,right
0.173828125,1162078208.0,1145630208.0,1145657472.0,1162487168.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165467392.0,1145657472.0,1165861120.0,1145630208.0,right
0.17578125,1145628032.0,1145628032.0,1145657472.0,1165463168.0,1145657472.0,1165864320.0,1145632256.0,1162195840.0,1145630208.0,1145657472.0,1162482560.0,1145628032.0,1145628032.0,1145630208.0,right
0.177734375,1162255104.0,1145630208.0,1145657472.0,1162501888.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165454720.0,1145657472.0,1165852288.0,1145630208.0,right
0.1796875,1145628032.0,1145628032.0,1145657472.0,1165451520.0,1145657472.0,1165839104.0,1145632256.0,1162261376.0,1145630208.0,1145657472.0,1162493568.0,1145628032.0,1145628032.0,1145630208.0,right
0.181640625,1162273536.0,1145632256.0,1145657472.0,1162465664.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165452672.0,1145657472.0,1165827584.0,1145632256.0,right
0.18359375,1145628032.0,1145628032.0,1145657472.0,1165452672.0,1145657472.0,1165823872.0,1145632256.0,1162404224.0,1145630208.0,1145657472.0,1162468352.0,1145628032.0,1145628032.0,1145630208.0,right
0.185546875,1162384768.0,1145632256.0,1145657472.0,1162459392.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165452160.0,1145657472.0,1165823872.0,1145632256.0,right
0.1875,1145628032.0,1145628032.0,1145657472.0,1165452672.0,1145657472.0,1165823872.0,1145630208.0,1162288768.0,1145632256.0,1145657472.0,1162463104.0,1145628032.0,1145628032.0,1145630208.0,right
0.189453125,1162324480.0,1145630208.0,1145657472.0,1162509824.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165442688.0,1145657472.0,1165808128.0,1145632256.0,right
0.19140625,1145628032.0,1145628032.0,1145657472.0,1165434752.0,1145657472.0,1165800320.0,1145630208.0,1162339712.0,1145632256.0,1145657472.0,1162499840.0,1145628032.0,1145628032.0,1145630208.0,right
0.193359375,1162276608.0,1145630208.0,1145657472.0,1162439936.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165430528.0,1145657472.0,1165793920.0,1145630208.0,right
0.1953125,1145628032.0,1145628032.0,1145657472.0,1165432704.0,1145657472.0,1165792896.0,1145632256.0,1162214656.0,1145630208.0,1145657472.0,1162424704.0,1145628032.0,1145628032.0,1145630208.0,right
0.197265625,1162209920.0,1145630208.0,1145657472.0,1162436864.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165427456.0,1145657472.0,1165801344.0,1145630208.0,right
0.19921875,1145628032.0,1145628032.0,1145657472.0,1165419008.0,1145657472.0,1165803392.0,1145632256.0,1162113920.0,1145630208.0,1145657472.0,1162329216.0,1145628032.0,1145628032.0,1145630208.0,right
0.201171875,1162090752.0,1145632256.0,1145657472.0,1162265088.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165403264.0,1145657472.0,1165796608.0,1145632256.0,right
0.203125,1145628032.0,1145628032.0,1145657472.0,1165399552.0,1145657472.0,1165793408.0,1145632256.0,1162088704.0,1145630208.0,1145657472.0,1162185344.0,1145628032.0,1145628032.0,1145630208.0,right
0.205078125,1161982592.0,1145632256.0,1145657472.0,1162117504.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165398016.0,1145657472.0,1165781888.0,1145632256.0,right
